Time,X_ft,Y_ft,Z_ft,Altitude,Vertical_Velocity,Vertical_Acceleration,Drogue_Deployed,Main_Deployed,CG_x_in,Mass_lbs,Pred_Apogee_ft
0.005,-6.4918e-07,0,9.31323e-07,10.5,-0.160719,-32.1438,0,0,58.3897,51.0999,10.5
0.01,-4.95808e-06,0,-0.00154008,10.4985,-0.321438,-32.1438,0,0,58.3897,51.0999,10.4985
0.015,-1.12792e-05,0,-0.00354908,10.4965,-0.482158,-32.1438,0,0,58.3897,51.0999,10.4965
0.02,-2.01272e-05,0,-0.00636167,10.4936,-0.642877,-32.1438,0,0,58.3896,51.0998,10.4936
0.025,-3.15072e-05,8.48476e-09,-0.00997787,10.49,-0.803596,-32.1438,0,0,58.3895,51.0996,10.49
0.03,-4.54168e-05,1.69695e-08,-0.0143977,10.4856,-0.964315,-32.1438,0,0,58.3893,51.0993,10.4856
0.035,-6.18506e-05,2.54543e-08,-0.0196211,10.4804,-1.12448,-32.0333,0,0,58.389,51.0987,10.4804
0.04,-8.07958e-05,3.81814e-08,-0.0256428,10.4744,-1.19246,-13.5961,0,0,58.3883,51.0977,10.4744
0.045,-9.94823e-05,5.5151e-08,-0.031583,10.4684,-1.12024,14.4441,0,0,58.3872,51.0958,10.4684
0.05,-0.000115621,7.63629e-08,-0.0367116,10.4633,-0.776635,68.7213,0,0,58.3852,51.0924,10.4633
0.055,-0.000123344,9.75748e-08,-0.0391704,10.4608,0.108794,177.086,0,0,58.3812,51.0858,10.3108
0.06,-0.000111085,1.18787e-07,-0.035284,10.4647,2.10719,399.678,0,0,58.3735,51.0728,10.5146
0.065,-5.48544e-05,1.31514e-07,-0.0174334,10.4826,6.45228,869.019,0,0,58.3576,51.0464,10.9702
0.07,9.6358e-05,1.14544e-07,0.03058,10.5306,12.4034,1190.23,0,0,58.3344,51.0079,12.916
0.075,0.000349057,6.78781e-08,0.110821,10.6108,17.7319,1065.7,0,0,58.3106,50.9683,15.4495
0.08,0.000666142,-3.39391e-08,0.211505,10.7115,23.3685,1127.32,0,0,58.2857,50.9268,19.0828
0.085,0.00108052,-2.03634e-07,0.343082,10.8431,29.215,1169.31,0,0,58.2597,50.8838,23.9033
0.09,0.00158797,-4.6242e-07,0.504212,11.0042,35.2251,1202.01,0,0,58.2329,50.8395,30.1596
0.095,0.00219105,-8.27264e-07,0.695704,11.1957,41.4018,1235.34,0,0,58.2054,50.7941,37.5876
0.1,0.00289274,-1.3109e-06,0.918503,11.4185,47.7375,1267.15,0,0,58.1771,50.7474,46.3997
0.105,0.00369541,-1.94301e-06,1.17336,11.6734,54.1788,1288.26,0,0,58.1482,50.7,56.5772
0.11,0.00460002,-2.73209e-06,1.46058,11.9606,60.6853,1301.29,0,0,58.119,50.6519,68.0802
0.115,0.00560734,-3.7036e-06,1.78041,12.2804,67.2157,1306.08,0,0,58.0895,50.6036,80.8329
0.12,0.00671745,-4.8745e-06,2.13287,12.6329,73.7596,1308.78,0,0,58.0599,50.5552,94.7938
0.125,0.00793067,-6.27024e-06,2.51806,13.0181,80.3275,1313.57,0,0,58.0301,50.5066,109.961
0.13,0.0092476,-7.89931e-06,2.93616,13.4362,86.9193,1318.37,0,0,58.0002,50.4579,126.312
0.135,0.0106686,-9.78717e-06,3.38729,13.8873,93.5353,1323.2,0,0,57.9702,50.4091,143.819
0.14,0.0121939,-1.1955e-05,3.87156,14.3716,100.162,1325.31,0,0,57.9401,50.3602,162.414
0.145,0.0138237,-1.44199e-05,4.38896,14.889,106.793,1326.26,0,0,57.9099,50.3114,182.22
0.15,0.0155579,-1.72029e-05,4.93952,15.4395,113.433,1327.91,0,0,57.8797,50.2625,202.904
0.155,0.0173968,-2.03253e-05,5.5233,16.0233,120.08,1329.55,0,0,57.8494,50.2135,224.553
0.16,0.0193405,-2.37998e-05,6.14034,16.6403,126.737,1331.2,0,0,57.819,50.1646,247.126
0.165,0.0213892,-2.76561e-05,6.79069,17.2907,133.401,1332.86,0,0,57.7885,50.1157,270.575
0.17,0.0235429,-3.1907e-05,7.47437,17.9744,140.073,1334.52,0,0,57.758,50.0668,295.064
0.175,0.0258018,-3.65778e-05,8.19144,18.6914,146.754,1336.18,0,0,57.7274,50.0178,320.225
0.18,0.0281661,-4.16856e-05,8.94194,19.4419,153.444,1337.84,0,0,57.6968,49.9688,346.132
0.185,0.0306358,-4.72432e-05,9.7259,20.2259,160.141,1339.51,0,0,57.6661,49.9199,372.931
0.19,0.0332112,-5.32843e-05,10.5434,21.0434,166.847,1341.19,0,0,57.6353,49.8709,400.307
0.195,0.0358923,-5.98176e-05,11.3944,21.8944,173.542,1338.98,0,0,57.6045,49.822,428.212
0.2,0.0386787,-6.68642e-05,12.2788,22.7788,180.232,1338,0,0,57.5737,49.7731,456.879
0.205,0.0415705,-7.44453e-05,13.1967,23.6967,186.917,1337.03,0,0,57.5429,49.7244,485.883
0.21,0.0445676,-8.25864e-05,14.148,24.648,193.597,1336.07,0,0,57.5121,49.6757,515.542
0.215,0.04767,-9.12961e-05,15.1327,25.6327,200.273,1335.11,0,0,57.4813,49.6271,545.476
0.22,0.0508776,-0.000100604,16.1507,26.6507,206.944,1334.14,0,0,57.4504,49.5786,575.998
0.225,0.0541903,-0.000110523,17.2021,27.7021,213.61,1333.18,0,0,57.4196,49.5302,606.698
0.23,0.057608,-0.000121078,18.2868,28.7868,220.271,1332.21,0,0,57.3887,49.4819,637.959
0.235,0.0611307,-0.000132277,19.4048,29.9048,226.927,1331.25,0,0,57.3579,49.4336,669.485
0.24,0.0647582,-0.000144156,20.5561,31.0561,233.578,1330.28,0,0,57.327,49.3854,701.147
0.245,0.0684906,-0.000156718,21.7406,32.2406,240.216,1327.52,0,0,57.2962,49.3374,733.202
0.25,0.0723275,-0.000169992,22.9583,33.4583,246.831,1323.13,0,0,57.2654,49.2895,765.376
0.255,0.0762684,-0.000183992,24.2089,34.7089,253.429,1319.48,0,0,57.2346,49.2418,797.667
0.26,0.0803132,-0.000198739,25.4925,35.9925,260.008,1315.85,0,0,57.2039,49.1942,829.957
0.265,0.0844616,-0.000214249,26.809,37.309,266.569,1312.22,0,0,57.1733,49.1469,862.488
0.27,0.0887133,-0.000230544,28.1582,38.6582,273.112,1308.6,0,0,57.1427,49.0997,895.075
0.275,0.0930681,-0.000247636,29.5401,40.0401,279.637,1304.98,0,0,57.1121,49.0526,927.702
0.28,0.0975255,-0.000265548,30.9546,41.4546,286.144,1301.37,0,0,57.0816,49.0058,960.354
0.285,0.102085,-0.000284295,32.4015,42.9015,292.633,1297.76,0,0,57.0512,48.9591,993.014
0.29,0.106748,-0.000303903,33.8809,44.3809,299.104,1294.17,0,0,57.0208,48.9126,1025.67
0.295,0.111512,-0.000324373,35.3925,45.8925,305.556,1290.57,0,0,56.9905,48.8662,1058.31
0.3,0.116377,-0.000345733,36.9364,47.4364,311.991,1286.99,0,0,56.9602,48.82,1090.91
0.305,0.121344,-0.000367997,38.5124,49.0124,318.408,1283.41,0,0,56.93,48.774,1123.47
0.31,0.126412,-0.000391182,40.1205,50.6205,324.808,1279.83,0,0,56.8998,48.7282,1155.97
