Time,X_ft,Y_ft,Z_ft,Altitude,Vertical_Velocity,Vertical_Acceleration,Drogue_Deployed,Main_Deployed,CG_x_in,Mass_lbs,Pred_Apogee_ft
0.0025,-1.62942e-07,0,5.5,10.5,-0.0803596,2.93948e-10,0,0,58.6001,50.4029,
0.005,-1.24405e-06,0,5.49961,10.4996,-0.160719,1.17579e-09,0,0,58.6001,50.4029,
0.0075,-2.82432e-06,0,5.49911,10.4991,-0.241079,2.64554e-09,0,0,58.6,50.4028,
0.01,-5.03826e-06,0,5.49841,10.4984,-0.321438,4.70319e-09,0,0,58.5999,50.4027,
0.0125,-7.8781e-06,0,5.49751,10.4975,-0.401798,7.34875e-09,0,0,58.5998,50.4025,
0.015,-1.13568e-05,0,5.4964,10.4964,-0.482158,1.05822e-08,0,0,58.5997,50.4024,
0.0175,-1.54665e-05,0,5.49509,10.4951,-0.562517,1.44037e-08,0,0,58.5996,50.4022,
0.02,-2.02074e-05,0,5.49359,10.4936,-0.642877,1.8813e-08,0,0,58.5995,50.402,
0.0225,-2.55793e-05,4.24238e-09,5.49188,10.4919,-0.723236,0.240692,0,0,58.5993,50.4018,
0.025,-3.15874e-05,8.48476e-09,5.48997,10.49,-0.802693,2.51899,0,0,58.5992,50.4015,
0.0275,-3.82059e-05,8.48476e-09,5.48787,10.4879,-0.873907,5.10606,0,0,58.599,50.4012,
0.03,-4.53366e-05,1.27271e-08,5.4856,10.4856,-0.938268,8.04374,0,0,58.5987,50.4008,
0.0325,-5.29457e-05,2.12119e-08,5.48318,10.4832,-0.994846,11.3796,0,0,58.5985,50.4004,
0.035,-6.09686e-05,2.54543e-08,5.48063,10.4806,-1.04259,15.1675,0,0,58.5982,50.4,
0.0375,-6.93278e-05,3.39391e-08,5.47798,10.478,-1.08029,19.4688,0,0,58.5979,50.3995,
0.04,-7.7943e-05,3.39391e-08,5.47524,10.4752,-1.1066,24.3531,0,0,58.5975,50.3989,
0.0425,-8.6716e-05,4.66662e-08,5.47245,10.4725,-1.11998,29.8995,0,0,58.5971,50.3982,
0.045,-9.55304e-05,5.5151e-08,5.46965,10.4696,-1.11865,36.1976,0,0,58.5966,50.3975,
0.0475,-0.000104275,6.36357e-08,5.46687,10.4669,-1.10065,43.3494,0,0,58.5961,50.3966,
0.05,-0.000112805,7.21205e-08,5.46416,10.4642,-1.06369,51.4706,0,0,58.5954,50.3957,
0.0525,-0.000120962,8.48476e-08,5.46156,10.4616,-1.00522,60.6928,0,0,58.5947,50.3946,
0.055,-0.000128566,9.75748e-08,5.45915,10.4591,-0.922324,71.1652,0,0,58.5939,50.3934,
0.0575,-0.00013541,1.0606e-07,5.45697,10.457,-0.81168,83.0573,0,0,58.593,50.3919,
0.06,-0.000141265,1.23029e-07,5.45511,10.4551,-0.669531,96.5617,0,0,58.592,50.3903,
0.0625,-0.000145859,1.35756e-07,5.45364,10.4536,-0.491606,111.897,0,0,58.5908,50.3885,
0.065,-0.000148898,1.48483e-07,5.45267,10.4527,-0.273053,129.312,0,0,58.5895,50.3865,
0.0675,-0.000150046,1.65453e-07,5.45231,10.4523,-0.00836319,149.089,0,0,58.588,50.3841,
