Time,X_ft,Y_ft,Z_ft,Altitude,Vertical_Velocity,Vertical_Acceleration,Body_Accel_X_ft_s2,Body_Accel_Y_ft_s2,Body_Accel_Z_ft_s2,Drogue_Deployed,Main_Deployed,CG_x_in,Mass_lbs,Pred_Apogee_ft,Roll_deg,Pitch_deg,Yaw_deg,P_rad_s,Q_rad_s,R_rad_s,RACS_Cant_deg,RACS_Cmd_deg
0.005,-6.62112e-07,0,8.9607e-07,548.281,-0.160732,0.0916803,0.0897783,8.85381e-10,-0.0249027,0,0,40.9332,15.16,3.28084,1.02888e-11,84.75,270,-1.42979e-18,-8.56177e-13,-1.26119e-11,0.125,0
0.01,-5.04602e-06,0,-0.0015402,548.279,-0.320776,389.059,390.696,1.76977e-09,-0.0237,0,0,40.9332,15.16,3.2793,-1.70669e-11,84.75,270,4.86215e-07,-0.000397605,-3.13027e-11,0.125,0
0.015,-1.14576e-05,1.19511e-06,-0.00354278,548.277,2.4362,389.168,390.804,3.17448e-09,-0.0437276,0,0,40.9259,15.1552,3.36005,1.39518e-07,84.7499,270,9.72721e-07,-0.000797624,1.1653e-10,0.125,0
0.02,6.91286e-05,-0.00256102,0.021608,548.302,4.22159,389.285,390.92,5.47595e-09,-0.0554106,0,0,40.9186,15.1504,3.50327,4.19784e-07,84.7497,270,1.50662e-06,-0.00119192,4.3053e-10,0.125,0
0.025,0.000144576,-0.00504777,0.0451553,548.326,6.00757,389.113,390.746,8.48532e-09,-0.066732,0,0,40.9113,15.1456,3.884,8.55403e-07,84.7493,270,2.10456e-06,-0.00159864,9.04403e-10,0.125,0
0.03,0.000255133,-0.00861153,0.0796595,548.36,7.79197,387.7,389.327,1.26471e-08,-0.0779712,0,0,40.904,15.1408,4.25015,1.46581e-06,84.7489,270,2.79243e-06,-0.00202709,1.54163e-09,0.125,0
0.035,0.000394252,-0.0130644,0.123077,548.404,9.56621,386.292,387.912,1.81686e-08,-0.089219,0,0,40.8967,15.136,4.82576,2.278e-06,84.7483,270,3.59599e-06,-0.00248441,2.34765e-09,0.125,0
0.04,0.000561655,-0.0183985,0.175323,548.456,11.3334,384.888,386.501,2.53203e-08,-0.100554,0,0,40.8894,15.1312,5.41518,3.32646e-06,84.7476,270,4.5402e-06,-0.00297591,3.33089e-09,0.125,0
0.045,0.000757335,-0.0246133,0.236394,548.517,13.0936,383.487,385.095,3.43973e-08,-0.111994,0,0,40.8822,15.1265,6.04146,4.65307e-06,84.7467,270,5.64988e-06,-0.00350564,4.50192e-09,0.125,0
0.05,0.000981162,-0.0317049,0.306248,548.587,14.8468,382.091,383.692,4.57221e-08,-0.123534,0,0,40.8749,15.1218,6.98757,6.24548e-06,84.7457,270,6.94956e-06,-0.0040767,5.87323e-09,0.125,0
0.055,0.00123303,-0.0396699,0.384851,548.666,16.593,380.698,382.293,5.96494e-08,-0.135165,0,0,40.8677,15.117,7.8282,8.28325e-06,84.7445,270,8.46345e-06,-0.00469145,7.45904e-09,0.125,0
0.06,0.00151281,-0.0485052,0.472168,548.753,18.3323,379.31,380.898,7.65708e-08,-0.146874,0,0,40.8606,15.1124,8.95847,1.07015e-05,84.7432,270,1.02155e-05,-0.00535175,9.27539e-09,0.125,0
0.065,0.00182041,-0.0582073,0.568164,548.849,20.0647,377.924,379.507,9.69187e-08,-0.158646,0,0,40.8534,15.1077,10.0076,1.37051e-05,84.7417,270,1.22293e-05,-0.00605905,1.13403e-08,0.125,0
0.07,0.00215571,-0.0687732,0.672804,548.954,21.7901,376.542,378.119,1.21171e-07,-0.170471,0,0,40.8463,15.103,11.319,1.71909e-05,84.7399,270,1.45282e-05,-0.00681453,1.36738e-08,0.125,0
0.075,0.00251859,-0.0801996,0.786054,549.067,23.5086,375.558,377.131,1.49855e-07,-0.182337,0,0,40.8391,15.0984,12.5707,2.13906e-05,84.738,270,1.71352e-05,-0.00761911,1.62984e-08,0.125,0
0.08,0.00290896,-0.0924834,0.90788,549.189,25.2232,374.628,376.197,1.83571e-07,-0.194256,0,0,40.832,15.0938,14.0626,2.63429e-05,84.7358,270,2.00731e-05,-0.00847355,1.92395e-08,0.125,0
0.085,0.00332679,-0.105624,1.03827,549.319,26.9333,373.698,375.263,2.22965e-07,-0.206216,0,0,40.825,15.0891,15.5161,3.21427e-05,84.7334,270,2.3365e-05,-0.00937854,2.25255e-08,0.125,0
0.09,0.00377199,-0.119619,1.17721,549.458,28.6387,372.77,374.332,2.68747e-07,-0.218209,0,0,40.8179,15.0845,17.1877,3.88914e-05,84.7307,270,2.70336e-05,-0.0103347,2.61882e-08,0.125,0
0.095,0.00424447,-0.134466,1.32466,549.605,30.3395,371.842,373.401,3.21697e-07,-0.230228,0,0,40.8108,15.0799,18.8383,4.66968e-05,84.7277,270,3.11015e-05,-0.0113424,3.02639e-08,0.125,0
0.1,0.00474417,-0.150163,1.4806,549.761,32.0357,370.916,372.471,3.82665e-07,-0.242269,0,0,40.8038,15.0754,20.6873,5.5673e-05,84.7245,270,3.55911e-05,-0.0124022,3.47933e-08,0.125,0
0.105,0.00527101,-0.166709,1.64501,549.926,33.7272,369.99,371.543,4.52581e-07,-0.254325,0,0,40.7968,15.0708,22.5308,6.59404e-05,84.7209,270,4.05244e-05,-0.0135144,3.98222e-08,0.125,0
0.11,0.00582492,-0.184101,1.81786,550.099,35.4141,369.066,370.616,5.32452e-07,-0.266394,0,0,40.7897,15.0662,24.5551,7.76253e-05,84.717,270,4.59235e-05,-0.0146792,4.54024e-08,0.125,0
0.115,0.00640583,-0.202338,1.99914,550.28,37.0964,368.143,369.69,6.2337e-07,-0.278469,0,0,40.7827,15.0617,26.5874,9.08602e-05,84.7128,270,5.18102e-05,-0.0158969,5.1592e-08,0.125,0
0.12,0.00701365,-0.221418,2.18882,550.47,38.7741,367.22,368.765,7.26515e-07,-0.290548,0,0,40.7758,15.0572,28.6351,0.000105783,84.7083,270,5.82059e-05,-0.0171678,5.84562e-08,0.125,0
